Aadhaar Number,Name,Date of Birth,Gender,Image File
7389 7910 9740,Charan Gour,13-01-1956,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_1.png
7524 1864 6228,Pranav Badami,15-07-1949,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_2.png
9347 4405 7941,Gagan Lad,06-07-1936,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_3.png
5411 4766 0149,Rachit Nazareth,30-03-2004,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_4.png
3225 4150 7956,Ishaan Tak,15-12-1951,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_5.png
3223 0450 2749,Gaurang Khurana,09-05-1936,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_6.png
3990 8347 2782,Devika Khare,18-09-1960,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_7.png
5236 7666 0400,Caleb Gala,05-07-1937,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_8.png
4596 9993 4550,Ayushman Mohan,14-03-2002,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_9.png
8214 4266 5589,Hemangini Chaudhry,17-08-1937,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_10.png
8637 2801 6879,Chakradhar Sami,07-10-1996,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_11.png
9030 1116 0998,Tanish Grover,07-09-1961,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_12.png
3865 6965 6208,Chakradev Chokshi,23-12-1975,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_13.png
3844 2984 9526,Geetika Mahajan,21-10-1994,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_14.png
4387 2246 3797,Ryan Krishna,10-06-1995,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_15.png
9217 2562 3000,Benjamin Bhatt,26-12-1952,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_16.png
8571 2689 4036,Nathaniel Kota,07-02-1984,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_17.png
7304 6006 8465,Lipika Pai,04-09-1991,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_18.png
7002 1469 2081,Bhavani Raj,02-12-1951,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_19.png
5738 6207 7572,Teerth Goda,19-10-1945,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_20.png
8906 1014 4368,Tripti Shenoy,12-09-1983,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_21.png
5550 9725 1703,Yashoda Mohanty,08-11-1998,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_22.png
7525 8568 7843,Aditya Chanda,04-11-1969,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_23.png
4415 5621 8563,William Kulkarni,08-11-1949,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_24.png
9321 9805 6779,Warjas Goswami,14-02-1973,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_25.png
4415 2020 2666,Xalak Krishna,16-06-1948,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_26.png
5629 2124 3520,Hema Magar,28-10-1984,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_27.png
6152 6532 0349,Dakshesh Buch,19-11-1982,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_28.png
2322 6148 2568,Aishani Badami,24-12-1952,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_29.png
8322 2598 5850,Thomas Buch,19-11-1953,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_30.png
4538 9250 9600,Yashawini Jhaveri,10-08-1966,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_31.png
6610 2950 4571,Amruta Bir,30-12-2005,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_32.png
3605 3502 6810,Laksh Dewan,23-03-1999,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_33.png
3842 0792 5420,Charvi Pandit,22-04-1946,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_34.png
8392 8430 2853,Zarna Nori,29-04-1958,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_35.png
9078 6733 0829,Banjeet Arora,16-07-1954,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_36.png
7029 6771 3963,Dev Parikh,02-03-1970,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_37.png
3724 5398 8672,Ikbal Krishnamurthy,06-02-1981,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_38.png
9115 0468 2460,Zayan Garde,13-09-1958,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_39.png
9583 1912 0691,Hemang Varughese,19-09-1936,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_40.png
8481 9202 7562,Balveer Krishnan,30-01-1976,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_41.png
2970 7582 7013,Ayaan Sarma,14-09-2006,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_42.png
5470 9117 6682,Alka Nagarajan,11-02-1980,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_43.png
9783 3092 4840,Ekbal Bava,23-05-1973,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_44.png
9838 3982 2994,Adya Srinivas,04-01-1990,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_45.png
9406 1529 8072,Omya Kala,14-09-2000,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_46.png
6954 9851 2818,Januja Balay,17-08-1979,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_47.png
6614 9377 4307,Warda Ahluwalia,18-02-1954,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_48.png
9845 4794 8785,Vasana Khalsa,14-11-2006,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_49.png
8395 0580 7577,Widisha Biswas,31-08-1941,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_50.png
2577 2430 4100,Ayushman Jani,09-03-1968,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_51.png
2847 8931 8072,Indira Ramesh,23-10-1956,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_52.png
9481 9663 3458,Indrajit Sankaran,03-09-2001,पुरुष (Male),synthetic_aadhaar_cards/aadhaar_card_53.png
2115 2149 6620,Vidhi Sura,24-12-1950,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_54.png
4165 5122 7213,Yahvi Jani,08-04-1975,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_55.png
3124 5814 5037,Tanish Jhaveri,28-02-1987,अन्य (Other),synthetic_aadhaar_cards/aadhaar_card_56.png
9199 8289 8285,Dominic Deo,10-01-1990,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_57.png
4301 1515 8841,Radha Menon,06-06-1935,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_58.png
4241 5780 1920,Warinder Yohannan,20-04-1958,महिला (Female),synthetic_aadhaar_cards/aadhaar_card_59.png
